Route,Stop,Community,Address,Easting,Northing,Date,Day,Frequency,Start,End,Timetable
L,Old School,West Lydford,"Old School, West Lydford, TA11 7DB",356609,131529,2017-01-26,Thursday,4,14:05,14:20,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
L,Pound Close,Parbrook,"Pound Close, Parbrook, BA6 8PA",356566,136894,2017-01-26,Thursday,4,14:35,14:50,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
M,Station,Crowcombe Heathfield,"Station, Crowcombe Heathfield, TA4 4PA",313686,134361,2017-01-27,Friday,4,9:30,9:50,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
M,Crowcombe School,Crowcombe,"Crowcombe School, Crowcombe, TA4 4AA",314034,136543,2017-01-27,Friday,4,10:00,10:30,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
M,Stogumber School,Stogumber,"Stogumber School, Stogumber, TA4 3TQ",309895,137182,2017-01-27,Friday,4,10:45,11:15,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
M,Notley Arms,Monksilver,"Notley Arms, Monksilver, TA4 4JB",307317,137491,2017-01-27,Friday,4,11:25,11:55,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
M,Roadwater Church,Roadwater,"Roadwater Church, Roadwater, TA23 0RB",303340,138554,2017-01-27,Friday,4,12:10,12:30,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
M,Rodhuish Farm,Rodhuish Higher,"Rodhuish Farm, Rodhuish Higher, TA24 6QL",301165,139725,2017-01-27,Friday,4,12:45,13:00,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
M,Cheeky Cherubs Nursery,Alcombe,"Cheeky Cherubs Nursery, Alcombe, TA24 5EB",297786,145634,2017-01-27,Friday,4,13:50,14:10,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
M,Butlins Billy's All Stars Nursery,Minehead,"Butlins Billy's All Stars Nursery, Minehead, TA24 5SH",298455,145984,2017-01-27,Friday,4,14:20,14:45,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
M,Blue Anchor Garage,Blue Anchor,"Blue Anchor Garage, Blue Anchor, TA24 6JZ",301986,143094,2017-01-27,Friday,4,15:00,15:20,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
N,Hemington School,Hemington,"Hemington School, Hemington, BA3 5XU",372916,153316,2017-01-30,Monday,4,10:15,10:45,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
N,Tellisford Lane Estate,Norton St Philip,"Tellisford Lane Estate, Norton St Philip, BA2 7LL",377744,155560,2017-01-30,Monday,4,11:00,11:20,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
N,Marsh Road Pre school,Rode,"Marsh Road Pre school, Rode, BA11 6PB",380512,154032,2017-01-30,Monday,4,11:30,11:45,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
N,The Green,Rode,"The Green, Rode, BA11 6PE",380653,154018,2017-01-30,Monday,4,11:50,12:10,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
N,Seymour Arms,Witham Friary,"Seymour Arms, Witham Friary, BA11 5HF",374454,141081,2017-01-30,Monday,4,13:15,13:30,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
